Series,Year,Period,Value
CEU3200000035,1987,M03,75.6
CEU3200000035,1987,M04,75.3
CEU3200000035,1987,M05,76.7
CEU3200000035,1987,M06,77.9
CEU3200000035,1987,M07,77.5
CEU3200000035,1987,M08,79
CEU3200000035,1987,M09,80.8
CEU3200000035,1987,M10,80
CEU3200000035,1987,M11,80.5
CEU3200000035,1987,M12,81.5
CEU3200000035,1988,M01,79.2
CEU3200000035,1988,M02,78.6
CEU3200000035,1988,M03,79
CEU3200000035,1988,M04,79.4
CEU3200000035,1988,M05,79.7
CEU3200000035,1988,M06,81.2
CEU3200000035,1988,M07,80.4
CEU3200000035,1988,M08,81.7
CEU3200000035,1988,M09,83.2
CEU3200000035,1988,M10,82.7
CEU3200000035,1988,M11,83.3
CEU3200000035,1988,M12,83.5
CEU3200000035,1989,M01,81.6
CEU3200000035,1989,M02,81.4
CEU3200000035,1989,M03,82.2
CEU3200000035,1989,M04,82.4
CEU3200000035,1989,M05,82.8
CEU3200000035,1989,M06,84.6
CEU3200000035,1989,M07,83.7
CEU3200000035,1989,M08,85.3
CEU3200000035,1989,M09,86.5
CEU3200000035,1989,M10,85.8
CEU3200000035,1989,M11,85.9
CEU3200000035,1989,M12,86.4
CEU3200000035,1990,M01,83.7
CEU3200000035,1990,M02,83.1
CEU3200000035,1990,M03,83.8
CEU3200000035,1990,M04,83.1
CEU3200000035,1990,M05,84.6
CEU3200000035,1990,M06,86.7
CEU3200000035,1990,M07,85.5
CEU3200000035,1990,M08,87.5
CEU3200000035,1990,M09,89
CEU3200000035,1990,M10,87.4
CEU3200000035,1990,M11,87.3
CEU3200000035,1990,M12,87.4
CEU3200000035,1991,M01,84.1
CEU3200000035,1991,M02,83.4
CEU3200000035,1991,M03,83.8
CEU3200000035,1991,M04,83.8
CEU3200000035,1991,M05,84.7
CEU3200000035,1991,M06,87
CEU3200000035,1991,M07,86.2
CEU3200000035,1991,M08,89.1
CEU3200000035,1991,M09,90.6
CEU3200000035,1991,M10,89.5
CEU3200000035,1991,M11,90
CEU3200000035,1991,M12,90.5
CEU3200000035,1992,M01,87
CEU3200000035,1992,M02,86.7
CEU3200000035,1992,M03,87.4
CEU3200000035,1992,M04,87.3
CEU3200000035,1992,M05,89
CEU3200000035,1992,M06,90.5
CEU3200000035,1992,M07,89.6
CEU3200000035,1992,M08,91.7
CEU3200000035,1992,M09,93.2
CEU3200000035,1992,M10,91.7
CEU3200000035,1992,M11,92.2
CEU3200000035,1992,M12,92.6
CEU3200000035,1993,M01,90.1
CEU3200000035,1993,M02,90
CEU3200000035,1993,M03,89.4
CEU3200000035,1993,M04,90.7
CEU3200000035,1993,M05,91.4
CEU3200000035,1993,M06,92.8
CEU3200000035,1993,M07,92.4
CEU3200000035,1993,M08,94.5
CEU3200000035,1993,M09,96.1
CEU3200000035,1993,M10,94.9
CEU3200000035,1993,M11,95.2
CEU3200000035,1993,M12,95.7
CEU3200000035,1994,M01,92.7
CEU3200000035,1994,M02,91.4
CEU3200000035,1994,M03,94.1
CEU3200000035,1994,M04,94.5
CEU3200000035,1994,M05,95.1
CEU3200000035,1994,M06,96.9
CEU3200000035,1994,M07,96.5
CEU3200000035,1994,M08,98.5
CEU3200000035,1994,M09,100.1
CEU3200000035,1994,M10,99.5
CEU3200000035,1994,M11,99.6
CEU3200000035,1994,M12,100.1
CEU3200000035,1995,M01,97.3
CEU3200000035,1995,M02,96.6
CEU3200000035,1995,M03,96.7
CEU3200000035,1995,M04,95.5
CEU3200000035,1995,M05,96.8
CEU3200000035,1995,M06,98.6
CEU3200000035,1995,M07,97.6
CEU3200000035,1995,M08,99.8
CEU3200000035,1995,M09,101.3
CEU3200000035,1995,M10,99.9
CEU3200000035,1995,M11,99.8
CEU3200000035,1995,M12,100.1
CEU3200000035,1996,M01,93.2
CEU3200000035,1996,M02,96.7
CEU3200000035,1996,M03,97.4
CEU3200000035,1996,M04,97
CEU3200000035,1996,M05,98
CEU3200000035,1996,M06,99.8
CEU3200000035,1996,M07,98.6
CEU3200000035,1996,M08,101.6
CEU3200000035,1996,M09,103
CEU3200000035,1996,M10,101.7
CEU3200000035,1996,M11,102.4
CEU3200000035,1996,M12,104
CEU3200000035,1997,M01,99.8
CEU3200000035,1997,M02,99.7
CEU3200000035,1997,M03,101
CEU3200000035,1997,M04,100.5
